y,flood,waste,population,nobs,r2,adjr2,aic,bic
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_population,3_fb_baseline_median,224,0.3377280876532106,0.32869710703029986,4701.210602387369,4714.85718659479
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_fb_baseline_safe,237,0.33530995828636434,0.32675171740593123,1720.1038130112315,1733.976053575772
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,218,0.3337542819318715,0.3244143886879258,4581.35293558711,4594.890915838266
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,224,0.32848711646622175,0.31933012259985205,1636.1199772379782,1649.7665614453983
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_fb_baseline_median,239,0.32507640902425616,0.31646036318201265,1741.4855416376226,1755.3913958453486
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_fb_baseline_safe,239,0.32507640902425616,0.31646036318201265,1741.4855416376226,1755.3913958453486
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,218,0.325826929312761,0.3163759049573325,1595.3821123927526,1608.920092643909
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.325826929312761,0.3163759049573325,1595.3821123927526,1608.920092643909
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.325826929312761,0.3163759049573325,1595.3821123927526,1608.920092643909
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,3_fb_baseline_median,248,0.3172220004087951,0.30882718893841143,1729.5350975049564,1743.5888124896164
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_median,224,0.3150736434287532,0.30573373856641806,1575.4869747516877,1589.1335589591079
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,224,0.3150723239338109,0.30573240107836286,1575.4874062821427,1589.1339904895628
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,3_fb_baseline_safe,237,0.3101225296911658,0.30123998715500055,1659.2746541301728,1673.1468946947134
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_median,218,0.3107804004761838,0.3011184434735136,1536.6451577714668,1550.183138022623
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.3107804004761838,0.3011184434735136,1536.6451577714668,1550.183138022623
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.3107804004761838,0.3011184434735136,1536.6451577714668,1550.183138022623
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.3107790574458196,0.3011170816156208,1536.6455825712467,1550.183562822403
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,218,0.31077905744581946,0.3011170816156207,1536.6455825712467,1550.183562822403
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.31077905744581946,0.3011170816156207,1536.6455825712467,1550.183562822403
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,224,0.3046881863339127,0.2952066616021024,1578.8579673007084,1592.5045515081285
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,218,0.3022487026135039,0.292467142369768,1539.3271658764704,1552.8651461276268
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.3022487026135039,0.292467142369768,1539.3271658764704,1552.8651461276268
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.3022487026135039,0.292467142369768,1539.3271658764704,1552.8651461276268
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,3_fb_baseline_median,239,0.29893866107778866,0.2899889418575051,1681.3452730345068,1695.2511272422328
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,3_fb_baseline_safe,239,0.29893866107778866,0.2899889418575051,1681.3452730345068,1695.2511272422328
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_median,224,0.21733849704666697,0.20666584018821244,1670.4294060002521,1684.0759902076722
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,218,0.21016290313517227,0.19909042046884295,1629.9002015049202,1643.4381817560766
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_median,218,0.21016290313517216,0.19909042046884284,1629.9002015049202,1643.4381817560766
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,218,0.21016290313517216,0.19909042046884284,1629.9002015049202,1643.4381817560766
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_median,224,0.19643694953508606,0.18547927157420085,1611.269704234262,1624.9162884416821
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,218,0.18912641814885833,0.1777590314873938,1572.0815417950794,1585.6195220462357
