quadkey,hour,2_threshold_lower,2_n_pairs,2_low_confidence
30011010223113,16,-3.5,3,False
30011010223120,16,-3.5,3,False
30011010223121,16,-3.5,3,False
30011010223122,16,-3.5,3,False
30011010223123,16,-3.5,3,False
30011010223130,16,-3.5,3,False
30011010223131,16,-3.5,3,False
30011010223132,16,-3.5,3,False
30011010223133,16,-3.5,3,False
30011010223200,16,-3.5,3,False
30011010223201,16,-3.5,3,False
30011010223202,16,-3.5,3,False
30011010223203,16,-3.5,3,False
30011010223210,16,-3.5,3,False
30011010223211,16,-3.5,3,False
30011010223212,16,-3.5,3,False
30011010223220,16,-3.5,3,False
30011010223221,16,-3.5,3,False
30011010223222,16,-3.5,3,False
30011010223223,16,-3.5,3,False
30011010223232,16,-3.5,3,False
30011010223233,16,-3.5,3,False
30011010223300,16,-3.5,3,False
30011010223301,16,-3.5,3,False
30011010223310,16,-3.5,3,False
30011010223311,16,-3.5,3,False
30011010223312,16,-3.5,3,False
30011010223313,16,-3.5,3,False
30011010223331,16,-3.5,3,False
30011010230022,16,-3.5,3,False
30011010230023,16,-3.5,3,False
30011010230032,16,-3.5,3,False
30011010230033,16,-3.5,3,False
30011010230200,16,-3.5,3,False
30011010230201,16,-3.5,3,False
30011010230202,16,-3.5,3,False
30011010230203,16,-3.5,3,False
30011010230210,16,-3.5,3,False
30011010230211,16,-3.5,3,False
30011010230212,16,-3.5,3,False
30011010230213,16,-3.5,3,False
30011010230220,16,-3.5,3,False
30011010230221,16,-3.5,3,False
30011010230222,16,-3.5,3,False
30011010230223,16,-3.5,3,False
30011010230230,16,-3.5,3,False
30011010230232,16,-3.5,3,False
30011010230233,16,-3.5,3,False
30011010232000,16,-3.5,3,False
30011010232001,16,-3.5,3,False
30011010232002,16,-3.5,3,False
30011010232003,16,-3.5,3,False
30011010232010,16,-3.5,3,False
30011010232011,16,-3.5,3,False
30011010232012,16,-3.5,3,False
30011010232013,16,-3.5,3,False
30011010232020,16,-3.5,3,False
30011010232021,16,-3.5,3,False
30011010232022,16,-3.5,3,False
30011010232023,16,-3.5,3,False
30011010232030,16,-3.5,3,False
30011010232031,16,-3.5,3,False
30011010232032,16,-3.5,3,False
30011010232033,16,-3.5,3,False
30011010232100,16,,2,True
30011010232101,16,-3.5,3,False
30011010232102,16,-3.5,3,False
30011010232103,16,-3.5,3,False
30011010232110,16,,1,True
30011010232112,16,-3.5,3,False
30011010232113,16,-3.5,3,False
30011010232120,16,-3.5,3,False
30011010232121,16,-3.5,3,False
30011010232122,16,-3.5,3,False
30011010232123,16,-3.5,3,False
30011010232130,16,-3.5,3,False
30011010232131,16,-3.5,3,False
30011010232132,16,-3.5,3,False
30011010232133,16,-3.5,3,False
30011010232200,16,-3.5,3,False
30011010232202,16,-3.5,3,False
30011010232203,16,-3.5,3,False
30011010232210,16,-3.5,3,False
30011010232220,16,-3.5,3,False
30011010232221,16,-3.5,3,False
30011010232222,16,-3.5,3,False
30011010232223,16,-3.5,3,False
30011010233000,16,-3.5,3,False
30011010233002,16,-3.5,3,False
30011010233020,16,-3.5,3,False
30011012000110,16,-3.5,3,False
30011012000111,16,-3.5,3,False
30011012001000,16,-3.5,3,False
30011012001001,16,-3.5,3,False
30011012001010,16,-3.5,3,False
30011012010001,16,-3.5,3,False
30011012010003,16,,1,True
30011012010012,16,-3.5,3,False
30011012010013,16,-3.5,3,False
30011012010020,16,-3.5,3,False
30011012010021,16,-3.5,3,False
30011012010022,16,-3.5,3,False
30011012010023,16,-3.5,3,False
30011012010030,16,-3.5,3,False
30011012010031,16,-3.5,3,False
30011012010032,16,-3.5,3,False
30011012010033,16,,1,True
30011012010102,16,-3.5,3,False
30011012010120,16,-3.5,3,False
30011012010200,16,-3.5,3,False
30011012010201,16,-3.5,3,False
30011012010202,16,-3.5,3,False
30011012010203,16,-3.5,3,False
30011012010210,16,-3.5,3,False
30011012010220,16,-3.5,3,False
30011012010221,16,-3.5,3,False
30011010232101,0,,2,True
30011010232111,0,,1,True
30011012001111,0,,1,True
30011010223322,8,,2,True
30011012010003,8,,1,True
30011010230330,16,,1,True
