quadkey,ts_prefix,dt,hour,baseline,crisis,change_raw,2_threshold_lower,2_n_pairs,2_low_confidence,2_change_median,2_change_mad,2_change,2_is_anomaly,2_anomaly_direction
30011010222313,20240501_0000,2024-05-01 00:00:00,0,390.1506225563534,353.14407369416347,-37.00654886218996,-3.5,3.0,False,4.220623608857238,3.738715241300838,-7.437776358181799,True,outflow
30011010223001,20240501_0000,2024-05-01 00:00:00,0,1131.633539552695,919.4159659337652,-212.21757361892992,-3.5,3.0,False,-26.626299400942344,7.825141004033867,-15.99732380483643,True,outflow
30011010223003,20240501_0000,2024-05-01 00:00:00,0,2262.4569574602497,1697.1889168680607,-565.268040592189,-3.5,3.0,False,-28.374700909165767,17.120802636782628,-21.151727830690778,True,outflow
30011010223010,20240501_0000,2024-05-01 00:00:00,0,1856.7618002154384,1328.22551358123,-528.5362866342084,-3.5,3.0,False,-30.38440227432261,11.426477245984643,-29.40568985238362,True,outflow
30011010223011,20240501_0000,2024-05-01 00:00:00,0,2304.955563927453,1465.5011551167886,-839.4544088106645,-3.5,3.0,False,-45.434079932026634,17.757659205411073,-30.159758424998074,True,outflow
30011010223012,20240501_0000,2024-05-01 00:00:00,0,5319.049871193419,3287.518470226255,-2031.5314009671638,-3.5,3.0,False,-98.58911042197724,4.58617350224722,-284.2826540107745,True,outflow
30011010223013,20240501_0000,2024-05-01 00:00:00,0,7462.947691083412,4856.577433140481,-2606.370257942931,-3.5,3.0,False,-102.35719300154051,46.3698302713201,-36.423614285851585,True,outflow
30011010223021,20240501_0000,2024-05-01 00:00:00,0,3447.2155544472994,2945.8145794802854,-501.400974967014,-3.5,3.0,False,16.656316881018938,0.5351869431929117,-652.9113757275352,True,outflow
30011010223023,20240501_0000,2024-05-01 00:00:00,0,2957.5244967391836,2737.042477430526,-220.48201930865753,-3.5,3.0,False,24.451282898734007,27.55505826823901,-5.995542115376687,True,outflow
30011010223030,20240501_0000,2024-05-01 00:00:00,0,6063.136359164514,4078.795391342483,-1984.340967822031,-3.5,3.0,False,-39.87728488030825,93.76485599922125,-13.987551520956686,True,outflow
